ticker,BRDT3 BZ Equity,CRFB3 BZ Equity,YDUQ3 BZ Equity,SMLS3 BZ Equity,WEGE3 BZ Equity,VVAR3 BZ Equity,CRUZ3 BZ Equity,SUZB3 BZ Equity,CSAN3 BZ Equity,CPFE3 BZ Equity,BBDC3 BZ Equity,HYPE3 BZ Equity,VVAR11 BZ Equity,PETR4 BZ Equity,CTIP3 BZ Equity,ENGI11 BZ Equity,VALE3 BZ Equity,CVCB3 BZ Equity,CMIG4 BZ Equity,SAPR11 BZ Equity,LREN3 BZ Equity,BRML3 BZ Equity,PCAR3 BZ Equity,FIBR3 BZ Equity,BEEF3 BZ Equity,BTOW3 BZ Equity,ABEV3 BZ Equity,FLRY3 BZ Equity,BRKM5 BZ Equity,ITSA4 BZ Equity,TOTS3 BZ Equity,PDGR3 BZ Equity,SUZB5 BZ Equity,EVEN3 BZ Equity,MRFG3 BZ Equity,RLOG3 BZ Equity,SBSP3 BZ Equity,CPLE6 BZ Equity,GOAU4 BZ Equity,POMO4 BZ Equity,LOGG3 BZ Equity,ECOR3 BZ Equity,QUAL3 BZ Equity,OIBR3 BZ Equity,RAIL3 BZ Equity,PETR3 BZ Equity,BBSE3 BZ Equity,UGPA3 BZ Equity,OIBR4 BZ Equity,CCRO3 BZ Equity,BRFS3 BZ Equity,JBSS3 BZ Equity,ELET6 BZ Equity,MGLU3 BZ Equity,IRBR3 BZ Equity,ELPL4 BZ Equity,BBDC4 BZ Equity,CIEL3 BZ Equity,MRVE3 BZ Equity,ALLL3 BZ Equity,VALE5 BZ Equity,KLBN11 BZ Equity,GNDI3 BZ Equity,COGN3 BZ Equity,PCAR4 BZ Equity,ITUB4 BZ Equity,GOLL4 BZ Equity,RSID3 BZ Equity,RENT3 BZ Equity,GFSA3 BZ Equity,SANB11 BZ Equity,EGIE3 BZ Equity,AZUL4 BZ Equity,EMBR3 BZ Equity,USIM5 BZ Equity,RADL3 BZ Equity,CESP6 BZ Equity,RUMO3 BZ Equity,BPAC11 BZ Equity,ELET3 BZ Equity,B3SA3 BZ Equity,IGTA3 BZ Equity,HGTX3 BZ Equity,TAEE11 BZ Equity,BBAS3 BZ Equity,LAME4 BZ Equity,MULT3 BZ Equity,DTEX3 BZ Equity,TIMP3 BZ Equity,BRAP4 BZ Equity,NATU3 BZ Equity,CSNA3 BZ Equity,ENBR3 BZ Equity,SULA11 BZ Equity,CYRE3 BZ Equity,EQTL3 BZ Equity,GGBR4 BZ Equity,VIVT4 BZ Equity,LIGT3 BZ Equity,NTCO3 BZ Equity,BRPR3 BZ Equity,HAPV3 BZ Equity
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29,,,24.7,38.36,11.077,,19.55,,35.16,18.075,16.814,17.49,24.6,18.6,30.429,13.509,26.54,14.867,13.817,,11.661,12.803,,27.05,13.03,32.335,16.16,6.925,16.2,6.971,12.51,512.792,9.83,5.51,6.57,,20.02,33.41,14.158,3.976,,11.9,24.2,12.986,,17.75,31.8,26.0,12.765,16.55,58.05,9.3,10.16,0.914,,8.71,16.928,22.789,7.079,6.38,23.3,11.88,,14.7,107.39,19.317,11.9,28.25,10.579,20.224,15.84,27.824,,23.8,6.499,4.33,26.55,,,6.877,11.67,24.26,25.19,19.24,27.28,11.71,16.549,9.203,13.16,17.56,18.635,8.78,9.673,12.786,12.45,5.074,11.91,48.41,20.34,18.634,12.85,
2014-09-30,,,25.44,38.8,10.988,,19.7,,35.196,18.065,16.601,17.58,24.41,18.09,30.299,,26.85,14.678,13.957,,11.749,12.93,,26.84,12.85,31.556,16.04,7.075,16.2,6.8309999999999995,12.41,499.178,9.84,5.45,6.66,,19.78,33.34,14.01,3.956,,12.06,24.22,13.359,,17.25,32.2,25.905,13.3,16.78,58.24,9.15,10.1,0.948,,8.49,16.525,23.148,7.461,6.36,23.78,11.84,,15.38,106.85,18.661,11.7,27.0,10.73,21.379,15.83,27.528,,24.15,6.263,4.188,26.18,,,6.558,11.19,24.81,24.8,19.57,25.3,11.536,16.622,8.898,12.89,17.92,18.49,8.7,9.86,13.157,12.35,4.96,11.78,48.4,20.68,18.489,13.0,
2014-10-01,,,24.7,39.0,10.992,,19.0,,33.639,17.29,16.06,17.01,24.14,17.09,30.199,,26.83,14.716,13.705,,11.527,12.702,,27.17,12.51,32.123,15.6,7.0,16.46,6.625,12.3,476.488,9.91,5.17,6.2,,19.65,33.75,13.931000000000001,3.926,,11.63,23.7,12.911,,16.4,31.71,25.125,12.765,16.03,58.75,9.18,9.79,0.954,,8.27,15.932,22.407,7.143,6.37,23.66,11.94,,15.05,104.86,18.16,11.1,25.25,10.561,20.513,15.99,26.776,,24.4,6.401,4.18,25.74,,,6.298,10.89,23.82,23.58,18.96,25.7,11.237,15.886,8.553,12.51,17.79,18.1,8.51,9.673,12.543,12.09,4.8,11.71,47.21,20.4,18.099,12.55,
2014-10-02,,,25.1,38.4,11.0,,19.18,,33.174,17.536,16.359,16.8,23.37,17.3,30.049,13.26,27.61,14.358,13.594,,11.421,12.575,,26.73,12.34,31.507,15.97,6.96,16.68,6.795,12.117,462.874,9.81,5.2,6.33,,19.34,33.85,14.337,3.976,,11.56,24.19,12.015,,16.59,31.6,24.895,11.924,16.67,59.27,9.5,9.68,0.989,,8.29,16.416,22.135,7.143,6.17,24.28,12.2,,14.94,106.65,18.766,11.53,25.25,10.567,20.513,15.7,26.944,,23.8,6.332,4.12,25.85,,,6.208,11.04,23.31,23.58,19.12,25.45,11.345,16.175,8.652,12.47,18.14,17.935,8.73,9.732,12.872,12.11,4.8100000000000005,11.96,47.93,20.17,17.934,12.3,
2014-10-03,,,25.65,40.5,11.065,,19.8,,33.773,17.886,16.648,17.36,23.37,18.35,30.449,,27.2,14.603,13.501,,11.64,12.87,,26.48,12.46,31.363,16.2,6.9,16.64,6.942,12.4,467.412,9.75,5.32,6.4,14.563,19.62,35.2,14.307,4.125,,12.13,24.39,12.687,,17.5,31.7,25.305,12.459,17.48,59.75,9.9,9.75,0.979,,8.29,16.758,22.459,7.416,6.42,23.87,12.15,,15.4,108.1,19.207,12.23,25.75,10.612,20.585,15.66,27.328,,23.69,6.725,4.226,26.01,,,6.348,11.14,24.5,23.37,18.83,26.01,11.453,16.566,8.76,12.5,18.07,18.3,8.84,9.86,12.881,12.54,4.896,11.97,48.43,20.68,18.299,12.42,
2014-10-06,,,26.0,42.3,10.923,,20.68,,36.13,18.982,17.934,17.94,23.99,20.39,31.799,13.459,27.34,14.867,13.966,,12.017,13.846,,26.32,12.72,30.488,16.62,7.25,16.86,7.399,12.333,512.792,9.44,5.72,7.0,15.381,20.32,37.32,14.525,4.324,,12.67,25.34,12.463,,19.2,32.05,26.755,12.153,18.63,60.78,10.33,10.38,1.028,,8.4,18.024,23.293,7.743,6.33,23.84,12.3,,15.94,112.0,20.237,12.85,27.25,11.259,21.885,15.7,28.544,,23.33,6.735,4.28,27.06,,,6.937,12.05,25.5,24.52,18.83,29.11,11.693999999999999,17.113,9.035,12.52,18.09,18.965,8.93,10.156,12.907,13.18,4.966,11.99,48.85,21.13,18.964,13.27,
2014-10-07,,,26.3,43.0,11.004,7.5,20.94,,36.2,19.077,17.839,18.08,24.14,21.21,32.029,13.21,27.4,15.186,15.083,,12.162,13.746,,25.5,12.78,31.171,16.44,7.155,16.75,7.421,12.667,526.406,9.26,5.83,7.17,15.381,20.07,38.0,14.327,4.3629999999999995,,12.33,25.84,12.986,,19.95,32.01,26.185,12.688,18.51,60.53,10.48,10.66,1.038,,8.69,17.905,23.785,7.825,6.34,24.01,12.24,,16.0,108.0,20.27,12.59,28.0,11.338,22.39,15.21,28.088,,22.67,6.647,4.2780000000000005,27.3,,,7.157,12.34,25.58,25.0,19.15,30.24,11.81,17.203,9.035,11.92,18.09,19.375,9.0,10.442,12.708,13.35,5.038,11.81,48.28,21.25,19.373,13.11,
2014-10-08,,,26.36,43.5,10.962,,20.84,,35.6,18.869,17.407,18.2,23.91,20.85,31.709,13.459,27.37,15.243,15.577,,12.126,13.565,,25.76,12.7,31.267,16.14,7.005,16.62,7.332,12.667,508.254,9.25,5.8100000000000005,7.02,15.198,20.25,37.97,14.238,4.4030000000000005,,12.21,25.74,11.941,,19.58,31.61,26.355,11.618,18.16,61.05,10.38,10.5,1.05,,8.59,17.754,23.611,7.797,6.38,23.98,12.2,,16.18,108.2,20.006,12.85,27.5,11.338,22.174,15.3,28.408,,22.98,6.391,4.32,27.43,,,7.007,12.33,25.75,24.35,19.29,30.43,11.744,17.12,9.252,12.07,18.03,19.38,9.03,10.363,12.319,13.35,5.026,11.84,48.74,21.35,19.378,13.07,
