date,VALE3 BZ Equity,BPAC11 BZ Equity,RSID3 BZ Equity,CYRE3 BZ Equity,TIMP3 BZ Equity,NTCO3 BZ Equity,VALE5 BZ Equity,ALLL3 BZ Equity,BRML3 BZ Equity,BBAS3 BZ Equity,SAPR11 BZ Equity,SUZB3 BZ Equity,SANB11 BZ Equity,MRFG3 BZ Equity,UGPA3 BZ Equity,LIGT3 BZ Equity,LREN3 BZ Equity,CPLE6 BZ Equity,HYPE3 BZ Equity,ITSA4 BZ Equity,BEEF3 BZ Equity,MULT3 BZ Equity,SULA11 BZ Equity,KLBN11 BZ Equity,ECOR3 BZ Equity,ITUB4 BZ Equity,PDGR3 BZ Equity,BRDT3 BZ Equity,ELPL4 BZ Equity,CTIP3 BZ Equity,FLRY3 BZ Equity,MGLU3 BZ Equity,RENT3 BZ Equity,POMO4 BZ Equity,EGIE3 BZ Equity,CCRO3 BZ Equity,CESP6 BZ Equity,WEGE3 BZ Equity,SBSP3 BZ Equity,ABEV3 BZ Equity,GFSA3 BZ Equity,IGTA3 BZ Equity,MRVE3 BZ Equity,ENGI11 BZ Equity,VVAR11 BZ Equity,YDUQ3 BZ Equity,HGTX3 BZ Equity,B3SA3 BZ Equity,RLOG3 BZ Equity,OIBR4 BZ Equity,ELET6 BZ Equity,BBDC3 BZ Equity,PETR3 BZ Equity,GOAU4 BZ Equity,IRBR3 BZ Equity,TAEE11 BZ Equity,DTEX3 BZ Equity,SUZB5 BZ Equity,PETR4 BZ Equity,EMBR3 BZ Equity,AZUL4 BZ Equity,SMLS3 BZ Equity,HAPV3 BZ Equity,RUMO3 BZ Equity,BRFS3 BZ Equity,CRFB3 BZ Equity,BTOW3 BZ Equity,BRPR3 BZ Equity,TOTS3 BZ Equity,BBDC4 BZ Equity,CIEL3 BZ Equity,BRKM5 BZ Equity,NATU3 BZ Equity,COGN3 BZ Equity,PCAR3 BZ Equity,CPFE3 BZ Equity,LOGG3 BZ Equity,CSAN3 BZ Equity,GOLL4 BZ Equity,VVAR3 BZ Equity,CRUZ3 BZ Equity,BRAP4 BZ Equity,GNDI3 BZ Equity,JBSS3 BZ Equity,CSNA3 BZ Equity,RAIL3 BZ Equity,GGBR4 BZ Equity,FIBR3 BZ Equity,USIM5 BZ Equity,QUAL3 BZ Equity,LAME4 BZ Equity,PCAR4 BZ Equity,CVCB3 BZ Equity,BBSE3 BZ Equity,VIVT4 BZ Equity,RADL3 BZ Equity,OIBR3 BZ Equity,EQTL3 BZ Equity,EVEN3 BZ Equity,CMIG4 BZ Equity,ENBR3 BZ Equity,ELET3 BZ Equity
2014-09-29,26.54,,28.25,12.45,13.16,18.634,23.3,6.38,12.803,27.28,,,15.84,6.57,26.0,20.34,11.661,33.41,17.49,6.971,13.03,16.549,12.786,11.88,11.9,19.317,512.792,,8.71,30.429,6.925,0.914,10.579,3.976,27.824,16.55,26.55,11.077,20.02,16.16,20.224,24.26,7.079,13.509,24.6,24.7,25.19,11.67,,12.765,10.16,16.814,17.75,14.158,,19.24,9.203,9.83,18.6,23.8,,38.36,,,58.05,,32.335,12.85,12.51,16.928,22.789,16.2,18.635,14.7,,18.075,,35.16,11.9,,19.55,17.56,,9.3,8.78,,11.91,27.05,6.499,24.2,11.71,107.39,14.867,31.8,48.41,4.33,12.986,5.074,5.51,13.817,9.673,6.877
2014-09-30,26.85,,27.0,12.35,12.89,18.489,23.78,6.36,12.93,25.3,,,15.83,6.66,25.905,20.68,11.749,33.34,17.58,6.8309999999999995,12.85,16.622,13.157,11.84,12.06,18.661,499.178,,8.49,30.299,7.075,0.948,10.73,3.956,27.528,16.78,26.18,10.988,19.78,16.04,21.379,24.81,7.461,,24.41,25.44,24.8,11.19,,13.3,10.1,16.601,17.25,14.01,,19.57,8.898,9.84,18.09,24.15,,38.8,,,58.24,,31.556,13.0,12.41,16.525,23.148,16.2,18.49,15.38,,18.065,,35.196,11.7,,19.7,17.92,,9.15,8.7,,11.78,26.84,6.263,24.22,11.536,106.85,14.678,32.2,48.4,4.188,13.359,4.96,5.45,13.957,9.86,6.558
2014-10-01,26.83,,25.25,12.09,12.51,18.099,23.66,6.37,12.702,25.7,,,15.99,6.2,25.125,20.4,11.527,33.75,17.01,6.625,12.51,15.886,12.543,11.94,11.63,18.16,476.488,,8.27,30.199,7.0,0.954,10.561,3.926,26.776,16.03,25.74,10.992,19.65,15.6,20.513,23.82,7.143,,24.14,24.7,23.58,10.89,,12.765,9.79,16.06,16.4,13.931000000000001,,18.96,8.553,9.91,17.09,24.4,,39.0,,,58.75,,32.123,12.55,12.3,15.932,22.407,16.46,18.1,15.05,,17.29,,33.639,11.1,,19.0,17.79,,9.18,8.51,,11.71,27.17,6.401,23.7,11.237,104.86,14.716,31.71,47.21,4.18,12.911,4.8,5.17,13.705,9.673,6.298
2014-10-02,27.61,,25.25,12.11,12.47,17.934,24.28,6.17,12.575,25.45,,,15.7,6.33,24.895,20.17,11.421,33.85,16.8,6.795,12.34,16.175,12.872,12.2,11.56,18.766,462.874,,8.29,30.049,6.96,0.989,10.567,3.976,26.944,16.67,25.85,11.0,19.34,15.97,20.513,23.31,7.143,13.26,23.37,25.1,23.58,11.04,,11.924,9.68,16.359,16.59,14.337,,19.12,8.652,9.81,17.3,23.8,,38.4,,,59.27,,31.507,12.3,12.117,16.416,22.135,16.68,17.935,14.94,,17.536,,33.174,11.53,,19.18,18.14,,9.5,8.73,,11.96,26.73,6.332,24.19,11.345,106.65,14.358,31.6,47.93,4.12,12.015,4.8100000000000005,5.2,13.594,9.732,6.208
2014-10-03,27.2,,25.75,12.54,12.5,18.299,23.87,6.42,12.87,26.01,,,15.66,6.4,25.305,20.68,11.64,35.2,17.36,6.942,12.46,16.566,12.881,12.15,12.13,19.207,467.412,,8.29,30.449,6.9,0.979,10.612,4.125,27.328,17.48,26.01,11.065,19.62,16.2,20.585,24.5,7.416,,23.37,25.65,23.37,11.14,14.563,12.459,9.75,16.648,17.5,14.307,,18.83,8.76,9.75,18.35,23.69,,40.5,,,59.75,,31.363,12.42,12.4,16.758,22.459,16.64,18.3,15.4,,17.886,,33.773,12.23,,19.8,18.07,,9.9,8.84,,11.97,26.48,6.725,24.39,11.453,108.1,14.603,31.7,48.43,4.226,12.687,4.896,5.32,13.501,9.86,6.348
2014-10-06,27.34,,27.25,13.18,12.52,18.964,23.84,6.33,13.846,29.11,,,15.7,7.0,26.755,21.13,12.017,37.32,17.94,7.399,12.72,17.113,12.907,12.3,12.67,20.237,512.792,,8.4,31.799,7.25,1.028,11.259,4.324,28.544,18.63,27.06,10.923,20.32,16.62,21.885,25.5,7.743,13.459,23.99,26.0,24.52,12.05,15.381,12.153,10.38,17.934,19.2,14.525,,18.83,9.035,9.44,20.39,23.33,,42.3,,,60.78,,30.488,13.27,12.333,18.024,23.293,16.86,18.965,15.94,,18.982,,36.13,12.85,,20.68,18.09,,10.33,8.93,,11.99,26.32,6.735,25.34,11.693999999999999,112.0,14.867,32.05,48.85,4.28,12.463,4.966,5.72,13.966,10.156,6.937
2014-10-07,27.4,,28.0,13.35,11.92,19.373,24.01,6.34,13.746,30.24,,,15.21,7.17,26.185,21.25,12.162,38.0,18.08,7.421,12.78,17.203,12.708,12.24,12.33,20.27,526.406,,8.69,32.029,7.155,1.038,11.338,4.3629999999999995,28.088,18.51,27.3,11.004,20.07,16.44,22.39,25.58,7.825,13.21,24.14,26.3,25.0,12.34,15.381,12.688,10.66,17.839,19.95,14.327,,19.15,9.035,9.26,21.21,22.67,,43.0,,,60.53,,31.171,13.11,12.667,17.905,23.785,16.75,19.375,16.0,,19.077,,36.2,12.59,7.5,20.94,18.09,,10.48,9.0,,11.81,25.5,6.647,25.84,11.81,108.0,15.186,32.01,48.28,4.2780000000000005,12.986,5.038,5.83,15.083,10.442,7.157
2014-10-08,27.37,,27.5,13.35,12.07,19.378,23.98,6.38,13.565,30.43,,,15.3,7.02,26.355,21.35,12.126,37.97,18.2,7.332,12.7,17.12,12.319,12.2,12.21,20.006,508.254,,8.59,31.709,7.005,1.05,11.338,4.4030000000000005,28.408,18.16,27.43,10.962,20.25,16.14,22.174,25.75,7.797,13.459,23.91,26.36,24.35,12.33,15.198,11.618,10.5,17.407,19.58,14.238,,19.29,9.252,9.25,20.85,22.98,,43.5,,,61.05,,31.267,13.07,12.667,17.754,23.611,16.62,19.38,16.18,,18.869,,35.6,12.85,,20.84,18.03,,10.38,9.03,,11.84,25.76,6.391,25.74,11.744,108.2,15.243,31.61,48.74,4.32,11.941,5.026,5.8100000000000005,15.577,10.363,7.007
2014-10-09,26.9,,26.75,13.5,11.73,19.998,23.52,6.26,13.739,31.6,,,14.75,6.96,26.195,21.31,12.314,36.6,18.4,7.377,12.59,17.239,11.99,11.97,12.13,20.259,512.792,,8.48,32.009,7.055,1.081,11.565,4.4030000000000005,28.368,18.02,27.13,10.919,20.09,16.1,22.463,25.95,7.761,,23.68,27.1,24.64,12.69,14.905,10.09,10.35,17.692,19.96,13.861,,19.68,9.262,9.16,21.2,22.62,,43.9,,,61.81,,30.882,13.15,12.707,18.1,23.843,16.35,20.0,16.15,,18.633,,35.41,12.66,,20.53,17.87,,10.5,8.7,,11.5,25.26,6.371,25.88,11.835,108.02,15.469,31.58,48.66,4.36,10.672,5.004,5.73,15.195,10.254,7.077
2014-10-10,26.25,,25.0,13.0,11.17,19.778,22.98,5.87,12.823,30.2,,,14.69,6.63,25.6,21.0,11.983,35.94,18.0,7.111,12.66,16.37,11.497,11.77,11.85,19.466,503.716,,8.17,31.569,7.2,1.01,11.338,4.254,27.056,17.25,26.11,10.765,19.75,15.71,21.74,24.68,7.543,,23.6,26.8,23.85,12.03,13.44,10.166,9.82,16.99,18.87,13.267,,19.32,9.055,9.18,20.02,22.09,,43.6,,,60.72,,30.074,12.67,12.667,17.227,23.356,16.06,19.78,15.61,,18.321,,35.12,11.97,,20.15,17.47,,10.29,8.41,,11.0,25.32,6.057,24.55,11.478,104.06,15.186,30.61,47.87,4.244,10.523,4.9,5.68,15.13,10.205,6.737
