date,GETI3 BZ Equity,UNIP6 BZ Equity,LREN3 BZ Equity,UGPA3 BZ Equity,SEER3 BZ Equity,SMLS3 BZ Equity,RAPT4 BZ Equity,BKBR3 BZ Equity,MILS3 BZ Equity,NTCO3 BZ Equity,BEEF3 BZ Equity,VIVA3 BZ Equity,ALPA4 BZ Equity,CCRO3 BZ Equity,CNTO3 BZ Equity,MULT3 BZ Equity,LIGT3 BZ Equity,MAGG3 BZ Equity,ABCB4 BZ Equity,BPAC11 BZ Equity,GETI4 BZ Equity,FESA4 BZ Equity,POSI3 BZ Equity,BBDC4 BZ Equity,ITUB4 BZ Equity,SANB11 BZ Equity,CEAB3 BZ Equity,BIDI11 BZ Equity,PDGR3 BZ Equity,MGLU3 BZ Equity,ELPL4 BZ Equity,APER3 BZ Equity,ELPL3 BZ Equity,SULA11 BZ Equity,TRIS3 BZ Equity,PRIO3 BZ Equity,GGBR3 BZ Equity,WEGE3 BZ Equity,FLRY3 BZ Equity,ARZZ3 BZ Equity,SBSP3 BZ Equity,RSID3 BZ Equity,ODPV3 BZ Equity,JBSS3 BZ Equity,EZTC3 BZ Equity,DMMO3 BZ Equity,YDUQ3 BZ Equity,CESP6 BZ Equity,OIBR4 BZ Equity,SEDU3 BZ Equity,PETR4 BZ Equity,SMTO3 BZ Equity,GRND3 BZ Equity,PSSA3 BZ Equity,BISA3 BZ Equity,OMGE3 BZ Equity,ALUP11 BZ Equity,STBP3 BZ Equity,MYPK3 BZ Equity,PCAR4 BZ Equity,MDIA3 BZ Equity,VVAR3 BZ Equity,LCAM3 BZ Equity,GNDI3 BZ Equity,QUAL3 BZ Equity,GFSA3 BZ Equity,ENEV3 BZ Equity,BPHA3 BZ Equity,NEOE3 BZ Equity,FIBR3 BZ Equity,JSLG3 BZ Equity,B3SA3 BZ Equity,HGTX3 BZ Equity,VVAR11 BZ Equity,BRPR3 BZ Equity,GOAU4 BZ Equity,ARTR3 BZ Equity,TESA3 BZ Equity,ENGI11 BZ Equity,BBRK3 BZ Equity,PARD3 BZ Equity,BBDC3 BZ Equity,BPAN4 BZ Equity,BIDI4 BZ Equity,GOLL4 BZ Equity,USIM3 BZ Equity,CSMG3 BZ Equity,CRUZ3 BZ Equity,PETR3 BZ Equity,NATU3 BZ Equity,TGMA3 BZ Equity,CIEL3 BZ Equity,CAML3 BZ Equity,MPLU3 BZ Equity,PTBL3 BZ Equity,ENBR3 BZ Equity,CSAN3 BZ Equity,ANIM3 BZ Equity,HYPE3 BZ Equity,RADL3 BZ Equity,CTIP3 BZ Equity,ELET3 BZ Equity,CSNA3 BZ Equity,TEND3 BZ Equity,EGIE3 BZ Equity,CPFE3 BZ Equity,JHSF3 BZ Equity,TIMP3 BZ Equity,DIRR3 BZ Equity,ALSO3 BZ Equity,CPLE3 BZ Equity,BRAP4 BZ Equity,ITSA4 BZ Equity,SAPR4 BZ Equity,RUMO3 BZ Equity,BBAS3 BZ Equity,VALE3 BZ Equity,LAME4 BZ Equity,MRVE3 BZ Equity,ECOR3 BZ Equity,CRFB3 BZ Equity,VALE5 BZ Equity,STBP11 BZ Equity,MMXM3 BZ Equity,OIBR3 BZ Equity,SUZB3 BZ Equity,BRML3 BZ Equity,VLID3 BZ Equity,ALSC3 BZ Equity,MEAL3 BZ Equity,TRPL4 BZ Equity,SAPR11 BZ Equity,LEVE3 BZ Equity,MRFG3 BZ Equity,BRDT3 BZ Equity,IGTA3 BZ Equity,CMIG4 BZ Equity,AALR3 BZ Equity,LINX3 BZ Equity,ELET6 BZ Equity,POMO4 BZ Equity,KLBN11 BZ Equity,IRBR3 BZ Equity,DTEX3 BZ Equity,BTOW3 BZ Equity,ABEV3 BZ Equity,SUZB5 BZ Equity,LAME3 BZ Equity,GGBR4 BZ Equity,RENT3 BZ Equity,COGN3 BZ Equity,TASA4 BZ Equity,LOGG3 BZ Equity,CGAS5 BZ Equity,SLED4 BZ Equity,TCSA3 BZ Equity,CMIG3 BZ Equity,ALLL3 BZ Equity,CYRE3 BZ Equity,USIM5 BZ Equity,BBSE3 BZ Equity,PMAM3 BZ Equity,CPLE6 BZ Equity,EVEN3 BZ Equity,LPSB3 BZ Equity,ITUB3 BZ Equity,ENAT3 BZ Equity,CVCB3 BZ Equity,CARD3 BZ Equity,SQIA3 BZ Equity,PRML3 BZ Equity,TAEE11 BZ Equity,BRSR6 BZ Equity,AZUL4 BZ Equity,SLCE3 BZ Equity,WIZS3 BZ Equity,EMBR3 BZ Equity,GUAR3 BZ Equity,VULC3 BZ Equity,BRFS3 BZ Equity,HAPV3 BZ Equity,VIVT4 BZ Equity,EQTL3 BZ Equity,BRKM5 BZ Equity,RLOG3 BZ Equity,MOVI3 BZ Equity,TUPY3 BZ Equity,TOTS3 BZ Equity,AMAR3 BZ Equity,DASA3 BZ Equity,RAIL3 BZ Equity,HBOR3 BZ Equity,LOGN3 BZ Equity,PCAR3 BZ Equity,TIET11 BZ Equity
2014-09-29,16.17,4.164,11.661,26.0,24.665,38.36,6.4846,,18.43,18.634,13.03,,8.112,16.55,,16.549,20.34,16.3,12.314,,19.62,9.35,2.1,16.928,19.317,15.84,,,512.792,0.914,8.71,152.96,,12.786,1.935,5.655,10.04,11.077,6.925,29.0,20.02,28.25,8.76,9.3,15.604,,24.7,26.55,12.765,12.75,18.6,13.367,5.3469999999999995,29.25,1.53,,16.265,,17.088,107.39,32.67,,1.53,,24.2,20.224,39.357,180.0,,27.05,12.26,11.67,25.19,24.6,12.85,14.158,15.7,57.217,13.509,31.285,,16.814,3.21,,11.9,6.895,32.395,19.55,17.75,18.635,18.0,22.789,,29.85,4.92,9.673,35.16,29.25,17.49,4.33,30.429,6.877,8.78,,27.824,18.075,3.57,13.16,9.75,18.57,23.35,17.56,6.971,1.673,,27.28,26.54,11.71,7.079,11.9,,23.3,16.71,14.75,12.986,,12.803,32.7,17.78,18.3,8.973,,21.76,6.57,,24.26,13.817,,16.46,10.16,3.976,11.88,,9.203,32.335,16.16,9.83,9.752,11.91,10.579,14.7,5.28,,47.855,13.521,44.844,14.253,6.38,12.45,6.499,31.8,36.21,33.41,5.51,11.11,17.581,9.41,14.867,3.08,2.088,9.095,19.24,13.99,,8.27,,23.8,12.733,,58.05,,48.41,5.074,16.2,,,18.62,12.51,14.364,12.287,,24.325,27.5,,19.417
2014-09-30,16.03,4.086,11.749,25.905,25.063,38.8,6.2798,,17.9,18.489,12.85,,8.248,16.78,,16.622,20.68,15.75,12.48,,21.55,9.29,2.12,16.525,18.661,15.83,,,499.178,0.948,8.49,153.152,,13.157,1.925,5.475,10.04,10.988,7.075,29.2,19.78,27.0,8.9,9.15,15.406,,25.44,26.18,13.3,12.95,18.09,13.1,5.667,28.41,1.53,,16.171,,16.391,106.85,32.54,,1.533,,24.22,21.379,39.927,188.5,,26.84,12.1,11.19,24.8,24.41,13.0,14.01,15.7,56.651,,30.911,,16.601,3.15,,11.7,6.588,30.496,19.7,17.25,18.49,17.8,23.148,,29.52,4.9,9.86,35.196,29.59,17.58,4.188,30.299,6.558,8.7,,27.528,18.065,3.59,12.89,9.98,18.32,23.37,17.92,6.8309999999999995,1.657,,25.3,26.85,11.536,7.461,12.06,,23.78,16.58,14.25,13.359,,12.93,34.818,18.173,17.8,8.916,,21.5,6.66,,24.81,13.957,,17.067,10.1,3.956,11.84,,8.898,31.556,16.04,9.84,9.553,11.78,10.73,15.38,5.39,,49.052,13.473,43.954,14.169,6.36,12.35,6.263,32.2,35.87,33.34,5.45,10.832,17.317,9.29,14.678,3.1,2.1,8.802,19.57,14.7,,8.205,,24.15,12.75,1.72,58.24,,48.4,4.96,16.2,,,18.6,12.41,14.164,12.037,,24.791,27.1,,21.327
2014-10-01,15.6,4.086,11.527,25.125,24.068,39.0,5.9873,,17.52,18.099,12.51,,7.992,16.03,,15.886,20.4,15.85,11.974,,20.9,9.35,2.08,15.932,18.16,15.99,,,476.488,0.954,8.27,147.217,,12.543,1.95,5.365,10.15,10.992,7.0,28.54,19.65,25.25,8.8,9.18,14.672,,24.7,25.74,12.765,12.7,17.09,12.767,5.33,28.74,1.53,,15.845,,15.958,104.86,32.333,,1.49,,23.7,20.513,39.357,188.5,,27.17,12.2,10.89,23.58,24.14,12.55,13.931000000000001,15.71,55.234,,29.697,,16.06,3.15,,11.1,6.538,30.26,19.0,16.4,18.1,16.95,22.407,,29.62,4.92,9.673,33.639,29.98,17.01,4.18,30.199,6.298,8.51,,26.776,17.29,3.38,12.51,9.52,17.8,23.74,17.79,6.625,1.647,,25.7,26.83,11.237,7.143,11.63,,23.66,16.49,13.5,12.911,,12.702,33.909,17.407,18.0,8.604,,21.03,6.2,,23.82,13.705,,17.3,9.79,3.926,11.94,,8.553,32.123,15.6,9.91,9.262,11.71,10.561,15.05,5.17,,48.852,13.859,41.641,13.887,6.37,12.09,6.401,31.71,35.36,33.75,5.17,10.376,16.678,8.95,14.716,3.1,2.098,8.508,18.96,13.62,,8.345,,24.4,12.278,1.8399999999999999,58.75,,47.21,4.8,16.46,,,18.62,12.3,13.782,11.607,,24.465,26.55,,20.684
2014-10-02,15.83,4.007,11.421,24.895,24.635,38.4,6.0165,,16.98,17.934,12.34,,8.024,16.67,,16.175,20.17,15.5,12.02,,20.25,9.4,2.08,16.416,18.766,15.7,,,462.874,0.989,8.29,153.152,,12.872,1.94,5.4,10.25,11.0,6.96,27.85,19.34,25.25,8.9,9.5,14.746,,25.1,25.85,11.924,12.77,17.3,12.573,5.367,29.4,1.53,,15.612,,15.919,106.65,32.163,,1.433,,24.19,20.513,38.786,188.5,,26.73,12.2,11.04,23.58,23.37,12.3,14.337,15.45,55.234,13.26,29.977,,16.359,3.17,,11.53,6.548,30.958,19.18,16.59,17.935,17.0,22.135,,29.26,4.7,9.732,33.174,29.49,16.8,4.12,30.049,6.208,8.73,,26.944,17.536,3.42,12.47,9.85,18.12,24.0,18.14,6.795,1.663,,25.45,27.61,11.345,7.143,11.56,,24.28,15.71,12.75,12.015,,12.575,33.727,17.338,17.7,8.636,,21.0,6.33,,23.31,13.594,,17.207,9.68,3.976,12.2,,8.652,31.507,15.97,9.81,9.528,11.96,10.567,14.94,5.06,,49.7,14.004,41.641,13.953,6.17,12.11,6.332,31.6,36.55,33.85,5.2,9.979,17.058,8.99,14.358,3.15,2.113,8.508,19.12,14.2,,8.47,,23.8,12.124,1.8,59.27,,47.93,4.8100000000000005,16.68,,,18.3,12.117,13.564,11.167,,24.465,26.5,,20.041
2014-10-03,15.98,4.086,11.64,25.305,25.072,40.5,6.1238,,16.9,18.299,12.46,,8.0,17.48,,16.566,20.68,15.8,12.121,,20.5,9.52,2.16,16.758,19.207,15.66,,,467.412,0.979,8.29,154.109,,12.881,1.9,5.345,10.17,11.065,6.9,28.8,19.62,25.75,9.0,9.9,15.039,,25.65,26.01,12.459,12.7,18.35,12.717,5.3629999999999995,29.73,1.56,,15.482,,16.361,108.1,33.12,,1.433,,24.39,20.585,38.786,193.0,,26.48,12.28,11.14,23.37,23.37,12.42,14.307,15.49,55.234,,29.977,,16.648,3.06,,12.23,7.838,30.634,19.8,17.5,18.3,17.45,22.459,,30.81,4.84,9.86,33.773,30.0,17.36,4.226,30.449,6.348,8.84,,27.328,17.886,3.5,12.5,9.88,18.45,24.98,18.07,6.942,1.673,,26.01,27.2,11.453,7.416,12.13,,23.87,15.85,12.5,12.687,,12.87,34.036,17.535,17.9,8.958,,21.03,6.4,,24.5,13.501,,17.45,9.75,4.125,12.15,,8.76,31.363,16.2,9.75,9.636,11.97,10.612,15.4,5.06,,50.049,13.966,44.488,13.662,6.42,12.54,6.725,31.7,36.72,35.2,5.32,9.879,17.328,9.25,14.603,3.14,2.148,8.411,18.83,13.78,,8.565,,23.69,12.499,1.88,59.75,,48.43,4.896,16.64,14.563,,18.06,12.4,13.564,11.327,,26.142,27.1,,20.288
2014-10-06,15.97,4.007,12.017,26.755,25.321,42.3,6.4261,,17.39,18.964,12.72,,8.32,18.63,,17.113,21.13,15.3,12.683,,20.25,9.59,2.16,18.024,20.237,15.7,,,512.792,1.028,8.4,152.96,,12.907,1.8900000000000001,5.4,9.96,10.923,7.25,29.75,20.32,27.25,9.28,10.33,15.934,,26.0,27.06,12.153,12.7,20.39,13.067,5.42,30.0,1.56,,16.06,,16.784,112.0,33.21,,1.417,,25.34,21.885,39.357,188.5,,26.32,12.71,12.05,24.52,23.99,13.27,14.525,16.0,55.234,13.459,30.351,,17.934,3.1,,12.85,7.788,30.752,20.68,19.2,18.965,17.99,23.293,,31.4,4.99,10.156,36.13,30.55,17.94,4.28,31.799,6.937,8.93,,28.544,18.982,3.52,12.52,10.4,18.51,25.97,18.09,7.399,1.75,,29.11,27.34,11.693999999999999,7.743,12.67,,23.84,15.9,12.75,12.463,,13.846,34.409,18.36,17.77,9.086,,21.72,7.0,,25.5,13.966,,17.497,10.38,4.324,12.3,,9.035,30.488,16.62,9.44,9.786,11.99,11.259,15.94,4.84,,50.298,14.197,47.068,14.263,6.33,13.18,6.735,32.05,38.08,37.32,5.72,10.078,18.187,9.43,14.867,3.22,2.225,8.019,18.83,13.9,,8.25,,23.33,12.778,1.76,60.78,,48.85,4.966,16.86,15.381,,18.36,12.333,13.818,11.537,,27.028,27.1,,20.041
2014-10-07,15.9,4.086,12.162,26.185,25.351,43.0,6.3968,,17.38,19.373,12.78,,8.16,18.51,,17.203,21.25,15.15,12.71,,20.89,9.75,2.17,17.905,20.27,15.21,,,526.406,1.038,8.69,157.363,,12.708,1.9449999999999998,5.495,9.99,11.004,7.155,30.0,20.07,28.0,9.45,10.48,15.964,,26.3,27.3,12.688,13.0,21.21,12.827,5.497,29.7,1.58,,16.404,,16.754,108.0,32.393,7.5,1.4,,25.84,22.39,39.927,188.0,,25.5,13.34,12.34,25.0,24.14,13.11,14.327,15.69,54.385,13.21,30.351,,17.839,3.13,,12.59,7.689,31.834,20.94,19.95,19.375,18.0,23.785,,32.0,4.9399999999999995,10.442,36.2,30.7,18.08,4.2780000000000005,32.029,7.157,9.0,,28.088,19.077,3.49,11.92,10.55,18.4,26.58,18.09,7.421,1.74,,30.24,27.4,11.81,7.825,12.33,,24.01,15.75,12.75,12.986,,13.746,34.018,18.546,17.75,8.978,,21.51,7.17,,25.58,15.083,,17.5,10.66,4.3629999999999995,12.24,,9.035,31.171,16.44,9.26,9.678,11.81,11.338,16.0,4.73,,50.398,13.859,49.115,15.482,6.34,13.35,6.647,32.01,38.25,38.0,5.83,10.028,18.292,9.45,15.186,3.31,2.138,8.117,19.15,14.1,,8.185,,22.67,12.5,1.72,60.53,,48.28,5.038,16.75,15.381,,18.85,12.667,13.727,11.497,,29.032,27.5,,20.674
2014-10-08,15.85,4.007,12.126,26.355,25.301,43.5,6.3871,,17.26,19.378,12.7,,8.184,18.16,,17.12,21.35,15.2,12.729,,20.61,9.77,2.1,17.754,20.006,15.3,,,508.254,1.05,8.59,156.98,,12.319,1.94,5.495,10.35,10.962,7.005,28.83,20.25,27.5,9.43,10.38,15.707,,26.36,27.43,11.618,12.89,20.85,12.9,5.563,28.9,1.58,,16.386,,16.597,108.2,32.39,,1.383,,25.74,22.174,39.927,186.0,,25.76,13.5,12.33,24.35,23.91,13.07,14.238,15.76,53.252,13.459,31.285,,17.407,3.09,,12.85,7.133,31.775,20.84,19.58,19.38,18.0,23.611,,32.25,4.95,10.363,35.6,29.88,18.2,4.32,31.709,7.007,9.03,,28.408,18.869,3.4699999999999998,12.07,10.1,18.59,26.6,18.03,7.332,1.733,,30.43,27.37,11.744,7.797,12.21,,23.98,16.05,12.75,11.941,,13.565,35.182,18.468,17.76,9.026,,21.8,7.02,,25.75,15.577,,17.5,10.5,4.4030000000000005,12.2,,9.252,31.267,16.14,9.25,9.844,11.84,11.338,16.18,4.73,,49.75,14.168,48.047,15.792,6.38,13.35,6.391,31.61,38.25,37.97,5.8100000000000005,9.959,17.857,9.57,15.243,3.25,2.138,7.824,19.29,13.8,,8.57,,22.98,12.625,1.76,61.05,,48.74,5.026,16.62,15.198,,18.94,12.667,13.636,11.347,,29.824,27.1,,20.397
2014-10-09,15.3,4.086,12.314,26.195,25.411,43.9,6.5333,,17.4,19.998,12.59,,8.0,18.02,,17.239,21.31,15.5,12.756,,20.16,9.8,2.1,18.1,20.259,14.75,,,512.792,1.081,8.48,154.3,,11.99,1.9,5.5649999999999995,9.84,10.919,7.055,28.85,20.09,26.75,9.33,10.5,16.162,,27.1,27.13,10.09,13.0,21.2,13.02,5.7,29.12,1.58,,16.339,,16.862,108.02,32.333,,1.3900000000000001,,25.88,22.463,38.216,197.0,,25.26,13.69,12.69,24.64,23.68,13.15,13.861,15.83,52.685,,31.191,,17.692,3.15,,12.66,7.233,31.617,20.53,19.96,20.0,18.0,23.843,,32.8,4.85,10.254,35.41,29.78,18.4,4.36,32.009,7.077,8.7,,28.368,18.633,3.46,11.73,10.3,18.49,25.6,17.87,7.377,1.74,,31.6,26.9,11.835,7.761,12.13,,23.52,16.07,12.25,10.672,,13.739,34.282,18.635,17.95,8.921,,22.3,6.96,,25.95,15.195,,17.667,10.35,4.4030000000000005,11.97,,9.262,30.882,16.1,9.16,9.802,11.5,11.565,16.15,4.62,,49.74,14.004,46.623,15.539,6.26,13.5,6.371,31.58,37.4,36.6,5.73,9.939,18.022,9.37,15.469,3.5,2.198,7.824,19.68,14.46,,8.245,,22.62,12.679,1.76,61.81,,48.66,5.004,16.35,14.905,,18.52,12.707,13.645,10.888,,28.519,26.25,,19.951999999999998
2014-10-10,15.49,4.086,11.983,25.6,24.903,43.6,6.5626,,17.36,19.778,12.66,,7.76,17.25,,16.37,21.0,15.3,12.6,,19.82,9.5,2.1,17.227,19.466,14.69,,,503.716,1.01,8.17,152.96,,11.497,1.94,5.51,9.35,10.765,7.2,28.63,19.75,25.0,9.36,10.29,15.883,,26.8,26.11,10.166,12.95,20.02,12.847,5.63,28.14,1.58,,15.91,,16.096,104.06,32.3,,1.427,,24.55,21.74,37.646,201.0,,25.32,13.45,12.03,23.85,23.6,12.67,13.267,15.53,50.419,,29.884,,16.99,3.14,,11.97,6.796,31.726,20.15,18.87,19.78,17.79,23.356,,32.43,4.96,10.205,35.12,29.76,18.0,4.244,31.569,6.737,8.41,,27.056,18.321,3.42,11.17,10.19,18.05,25.2,17.47,7.111,1.7069999999999999,,30.2,26.25,11.478,7.543,11.85,,22.98,15.59,12.0,10.523,,12.823,34.509,17.878,17.42,8.766,,22.27,6.63,,24.68,15.13,,17.56,9.82,4.254,11.77,,9.055,30.074,15.71,9.18,9.503,11.0,11.338,15.61,4.62,,49.261,14.062,43.598,15.304,5.87,13.0,6.057,30.61,36.55,35.94,5.68,9.542,17.521,9.07,15.186,3.42,2.188,7.824,19.32,14.16,,8.495,,22.09,12.463,,60.72,,47.87,4.9,16.06,13.44,,17.81,12.667,13.573,10.998,,29.078,25.65,,19.615
