FIELD,TRADE_DATE,ABEV3 BZ Equity,ACES4 BZ Equity,AEDU3 BZ Equity,AELP3 BZ Equity,AGEI3 BZ Equity,ALLL11 BZ Equity,ALLL3 BZ Equity,ARCE3 BZ Equity,ARCZ6 BZ Equity,ATMP3 BZ Equity,AZUL4 BZ Equity,B3SA3 BZ Equity,BBAS3 BZ Equity,BBAS4 BZ Equity,BBDC3 BZ Equity,BBDC4 BZ Equity,BBSE3 BZ Equity,BEEF3 BZ Equity,BESP4 BZ Equity,BISA3 BZ Equity,BMTO4 BZ Equity,BNCA3 BZ Equity,BPAC11 BZ Equity,BRAP4 BZ Equity,BRDT3 BZ Equity,BRDT4 BZ Equity,BRFS3 BZ Equity,BRHA4 BZ Equity,BRKM5 BZ Equity,BRML3 BZ Equity,BRPR3 BZ Equity,BRTP3 BZ Equity,BRTP4 BZ Equity,BTOW3 BZ Equity,CCPR3 BZ Equity,CCRO3 BZ Equity,CESP5 BZ Equity,CESP6 BZ Equity,CGAS5 BZ Equity,CIEL3 BZ Equity,CLSC4 BZ Equity,CMET4 BZ Equity,CMIG3 BZ Equity,CMIG4 BZ Equity,COGN3 BZ Equity,CPFE3 BZ Equity,CPLE6 BZ Equity,CPSL3 BZ Equity,CRFB3 BZ Equity,CRGT5 BZ Equity,CRTP5 BZ Equity,CRUZ3 BZ Equity,CSAN3 BZ Equity,CSNA3 BZ Equity,CSTB4 BZ Equity,CTAX4 BZ Equity,CTIP3 BZ Equity,CVCB3 BZ Equity,CYRE3 BZ Equity,DASA3 BZ Equity,DTEX3 BZ Equity,DURA4 BZ Equity,EBTP3 BZ Equity,EBTP4 BZ Equity,ECOR3 BZ Equity,EGIE3 BZ Equity,ELET3 BZ Equity,ELET6 BZ Equity,ELPL4 BZ Equity,ELPL5 BZ Equity,EMBR3 BZ Equity,EMBR4 BZ Equity,ENBR3 BZ Equity,ENGI11 BZ Equity,EQTL3 BZ Equity,EVEN3 BZ Equity,FIBR3 BZ Equity,FLRY3 BZ Equity,GEPA4 BZ Equity,GETI4 BZ Equity,GFSA3 BZ Equity,GGBR4 BZ Equity,GNDI3 BZ Equity,GOAU4 BZ Equity,GOLL4 BZ Equity,HAPV3 BZ Equity,HGTX3 BZ Equity,HYPE3 BZ Equity,IGTA3 BZ Equity,INEP4 BZ Equity,IRBR3 BZ Equity,ITSA4 BZ Equity,ITUB4 BZ Equity,JBSS3 BZ Equity,KLBN11 BZ Equity,KLBN4 BZ Equity,LAME4 BZ Equity,LIGH3 BZ Equity,LIGT3 BZ Equity,LOGG3 BZ Equity,LREN3 BZ Equity,MGLU3 BZ Equity,MMXM3 BZ Equity,MRFG3 BZ Equity,MRVE3 BZ Equity,MULT3 BZ Equity,NATU3 BZ Equity,NETC4 BZ Equity,NTCO3 BZ Equity,OGXP3 BZ Equity,OIBR3 BZ Equity,OIBR4 BZ Equity,PALF3 BZ Equity,PCAR3 BZ Equity,PCAR4 BZ Equity,PDGR3 BZ Equity,PETR3 BZ Equity,PETR4 BZ Equity,POMO4 BZ Equity,PRML3 BZ Equity,PRTX3 BZ Equity,PTIP4 BZ Equity,QUAL3 BZ Equity,RADL3 BZ Equity,RAIL3 BZ Equity,RCTB31 BZ Equity,RCTB41 BZ Equity,RDCD3 BZ Equity,RENT3 BZ Equity,RLOG3 BZ Equity,RSID3 BZ Equity,RUMO3 BZ Equity,SANB11 BZ Equity,SAPR11 BZ Equity,SBSP3 BZ Equity,SDIA4 BZ Equity,SMLS3 BZ Equity,SULA11 BZ Equity,SUZB3 BZ Equity,SUZB5 BZ Equity,TAEE11 BZ Equity,TAMM4 BZ Equity,TCOC4 BZ Equity,TCSL4 BZ Equity,TDBH4 BZ Equity,TEPR12 BZ Equity,TESA3 BZ Equity,TIMP3 BZ Equity,TLCP4 BZ Equity,TMAR5 BZ Equity,TMCP4 BZ Equity,TNEP4 BZ Equity,TNLP3 BZ Equity,TNLP4 BZ Equity,TOTS3 BZ Equity,TRPL4 BZ Equity,TSEP4 BZ Equity,TSPC6 BZ Equity,UBBR11 BZ Equity,UGPA3 BZ Equity,UGPA4 BZ Equity,USIM3 BZ Equity,USIM5 BZ Equity,VALE3 BZ Equity,VALE5 BZ Equity,VCPA4 BZ Equity,VIVO4 BZ Equity,VIVT4 BZ Equity,VVAR11 BZ Equity,VVAR3 BZ Equity,WEGE3 BZ Equity,WHMT3 BZ Equity,YDUQ3 BZ Equity
PX_LAST,1999-12-29,0.872,11.5,,,,,,,4.4,,,,2.759,10.82,1.5819999999999999,1.916,,,62.9,,2.5300000000000002,,,,,30.99,2.658,1285.0,7.375,,,18.05,29.49,,,,10.5,,4.665,,17.4,0.13,2.734,4.604,,,16.2,7.689,,580.0,31.346,2.7,,2.75,26.5,,,,,,,5.7,17.871,36.426,,1.56,19.576999999999998,20.574,,27.5,6.786,6.7940000000000005,,,,,18.022,,11.12,2.497,,2.009,,2.15,,,,,,195.435,,0.716,2.583,,,0.274,0.347,74.319,,,,,,,,,,350.583,,,88.591,106.375,52.925,,29.462,,4.625,5.563,,,,9.3,,,,117.223,189.375,,,,,,,,8.537,1.62,,,,4.24,,,11.94,6.076,,,,3.8689999999999998,77.0,44.381,39.887,4.7,27.411,40.445,,1.313,71.5,144.0,5.745,2.261,4.522,1.323,2.078,3.358,3.792,16.4,311.755,43.6,,,0.325,1.26,
PX_LAST,1999-12-30,0.896,11.3,,,,,,2.24,4.38,,,,2.7960000000000003,10.85,1.5819999999999999,1.939,,,64.0,,2.533,,,,,30.0,2.742,1320.0,7.475,,,18.43,30.885,,,,11.4,,4.812,,17.2,0.13,2.758,4.959,,,17.5,7.7,,560.0,31.346,2.672,,2.917,29.5,,,,,,,5.65,17.754,34.923,,1.464,19.742,21.523,,29.25,7.88,7.136,,,,,18.242,,11.12,2.545,,2.051,,2.165,,,,,,194.149,,0.74,2.566,,,0.284,0.357,74.694,,,,,,,,,,356.862,,,89.703,111.87,52.082,,29.962,,5.0,5.75,,,,9.655,,,,123.646,189.375,,,,,,,,8.837,1.6400000000000001,,,,,,2.489,11.4,5.976,,,,3.899,74.0,44.68,39.389,4.7,27.927,41.647,,1.437,66.75,143.0,6.0,2.2720000000000002,4.543,,2.141,3.5,4.167,16.6,316.202,43.8,,,0.325,1.27,
PX_LAST,2000-01-03,0.896,10.7,,,,,,2.16,4.75,,,,2.729,10.67,1.52,1.916,,,63.8,,,,,,,29.5,2.667,1320.0,7.175,,,18.905,30.427,,,,11.05,,4.724,,17.4,,2.8689999999999998,4.898,,,16.75,7.6,,559.95,30.6,2.64,,3.042,28.99,,,,,,,5.7,17.695,34.548,,1.44,19.492,20.968,,27.45,7.153,6.891,,,,,18.681,,11.14,2.532,,2.073,,2.165,,,,,,192.607,,0.756,2.566,,,0.293,0.365,77.329,,,,,,,,,,342.211,,,88.961,106.184,53.501,,31.46,,4.9,5.813,0.255,,,9.6,,,,122.04,182.199,,,,,,,,8.791,1.6600000000000001,,,,4.386,,,12.0,5.707,,,,3.968,74.0,43.384,38.99,4.6,29.19,38.814,,1.561,65.0,128.16,5.5,2.284,4.567,,2.098,3.5,4.05,17.0,291.597,41.2,,,0.337,1.25,
PX_LAST,2000-01-04,0.896,9.7,,,,,,2.04,4.5,,,,2.646,10.16,1.397,1.779,,,59.5,,,,,,,28.7,2.483,1320.0,6.75,,,17.575,29.397,,,,10.11,,4.517,,16.0,0.122,2.734,4.541,,,15.95,7.3,,521.0,28.858,2.582,,3.083,27.0,,,,,,,5.701,16.166,30.417,,1.496,18.802,19.975,,26.825,6.357,6.4879999999999995,,,,,17.56,,11.15,2.4699999999999998,,2.026,,2.091,,,,,,173.32,,0.72,2.484,,,0.288,0.352,79.588,,,,,,,,,,291.978,,,88.961,107.13,51.762,,29.962,,4.625,5.55,0.255,,,9.2,,,,114.252,167.439,,,,,,,,8.271,1.5699999999999998,,,,3.948,,,10.86,5.608,,,,3.77,69.0,40.591,38.392,4.0,27.514,35.207,,1.35,64.0,124.0,5.25,2.283,4.5649999999999995,,2.06,3.417,3.917,15.98,287.546,37.29,,,0.325,1.25,
PX_LAST,2000-01-05,0.862,10.5,,,,,,2.0,4.54,,,,2.626,10.25,1.458,1.887,,,61.9,,,,,,,28.0,2.358,1270.0,7.175,,,18.05,29.022,,,,10.34,,4.567,,16.2,0.124,2.7,4.53,,,16.2,7.6,,530.01,28.162,2.54,,3.25,26.5,,,,,,,5.7,16.519,31.544,,1.48,19.437,20.898,,26.0,6.479,6.435,,,,,17.56,,11.16,2.57,,2.073,,2.061,,,,,,167.406,,0.772,2.417,,,0.293,0.342,85.951,,,,,,,,,,320.234,,,81.548,105.994,52.344,,30.461,,4.688,5.494,0.267,,,9.0,,,,115.216,173.826,,,,,,,,8.04,1.56,,,,3.948,,,11.28,5.777,,,,3.73,70.0,41.18,38.192,4.1,28.7,36.667,,1.533,65.0,129.0,5.25,2.337,4.674,,2.213,3.417,3.792,15.98,291.498,38.89,,,,1.27,
PX_LAST,2000-01-06,0.835,10.6,,,,,,2.0,4.51,,,,2.6630000000000003,10.05,1.478,1.9020000000000001,,,63.99,,,,,,,27.1,2.417,1229.98,7.0,,,17.29,28.095,,,,9.92,,4.38,,15.4,0.127,2.7439999999999998,4.59,,,15.9,7.251,,540.0,28.858,2.59,,3.396,25.8,,,,,,,5.75,16.637,31.559,,1.536,18.987,20.674,,26.0,6.33,6.304,,,,,17.363,,11.16,2.482,,2.158,,2.083,,,,,,151.977,,0.776,2.451,,,0.297,0.352,92.898,,,,,,,,,,301.397,,,79.139,105.236,52.111,,30.311,,4.65,5.475,0.261,,,8.785,,,,114.814,170.238,,,,,,,,8.0,1.53,,,,3.948,,2.339,11.85,5.827,,,,3.581,71.5,40.89,39.289,3.9,28.58,35.911,,1.5110000000000001,64.5,130.0,5.05,2.37,4.739,1.323,2.39,3.417,3.919,15.8,291.498,37.28,,,0.296,1.3,
PX_LAST,2000-01-07,0.815,12.0,,,,,,2.3,4.6,,,,2.6029999999999998,10.15,1.505,1.9020000000000001,,,64.99,,2.548,,,,,28.49,2.667,1200.0,6.75,,,17.86,28.273,,,,10.29,,4.444,,15.6,0.13,2.702,4.604,,,15.75,7.2,,529.99,29.852,2.6,,3.375,26.55,,,,,,,6.05,16.313,31.694,,1.56,19.242,21.303,,27.25,6.523,6.479,,,,,16.923000000000002,,11.19,2.547,,2.2560000000000002,,2.091,,,,,,156.862,,0.78,2.6,,,0.299,0.357,90.834,,,,,,,,,,295.118,,,,101.443,52.344,,31.41,,4.688,5.5,0.261,,,9.4,,,,114.003,172.224,,,,,,,,8.112,1.56,,,,3.948,,2.339,11.97,5.976,,,,3.68,71.5,41.389,38.89,3.92,27.153,36.504,,1.437,63.75,128.0,5.1,2.521,5.041,1.345,2.511,3.542,3.942,15.4,291.498,39.4,,,0.296,1.32,
PX_LAST,2000-01-10,0.815,13.1,,,,,,2.5,4.8,,,,2.733,10.58,1.513,1.916,,,69.5,,2.44,,,,,28.5,2.75,1200.0,6.763,,,19.0,29.116,,,,10.5,,4.508,,16.2,0.14,2.706,4.493,,,16.2,7.005,,569.0,33.137,2.596,,3.417,28.0,,,,,,,6.7,17.636,31.889,,1.6400000000000001,19.737,21.822,,29.6,6.584,6.567,,,,,16.923000000000002,,11.18,2.645,,2.329,,2.188,,,,,,166.891,,0.807,2.648,,,0.32,0.371,89.52,,,,,,,,,,303.49,,,83.401,103.887,52.344,,31.959,,4.825,5.6129999999999995,0.261,,,9.125,,,,118.026,182.518,,,,61.623,,,,8.541,1.56,,,,4.24,,2.339,12.15,6.474,,,,3.8689999999999998,73.0,43.733,43.377,4.05,27.411,38.642,,1.5190000000000001,70.0,135.0,5.15,2.609,5.217,1.554,2.771,3.833,4.375,15.4,305.134,42.6,,,,1.34,
PX_LAST,2000-01-11,0.794,13.0,,,,,,2.52,4.85,,,,2.709,10.83,1.423,1.827,,,66.51,,,,,,,28.4,2.567,1170.0,6.85,,,18.335,29.032,,,,10.28,,4.405,,15.8,0.14,2.7,4.273,,,15.51,6.801,,554.9,32.839,2.484,,3.271,27.7,,,,,,,7.202,17.166,30.042,,1.6480000000000001,18.887,20.973,,28.5,6.304,6.4,,,,,16.596,,11.2,2.699,,2.295,,2.21,,,,,,159.691,,0.803,2.583,,,0.314,0.347,88.206,,,,,,,,,,311.862,,,85.255,102.581,51.762,,31.46,,4.663,5.475,0.263,,,9.0,,,,112.405,177.813,,,,,,,,8.416,1.53,,,,3.948,,2.239,11.52,6.524,,,,3.67,69.5,41.888,42.38,3.95,26.036,38.298,,1.486,70.25,136.5,5.151,2.609,5.217,,2.622,3.842,4.25,15.102,297.822,43.5,,,0.296,1.3,
PX_LAST,2000-01-12,0.801,14.2,,,,,,2.4,4.67,,,,2.746,11.21,1.492,1.8679999999999999,,,64.9,,,,,,,28.6,2.542,1180.0,7.175,,,20.235,28.835,,,,10.39,,4.322,,15.6,0.145,2.599,4.187,,,15.4,6.9,,539.99,31.844,2.54,,3.125,26.5,,,,,,,7.16,16.989,29.065,,1.6720000000000002,18.488,20.474,,29.5,6.26,6.444,,,,,16.042,,11.21,2.657,,2.329,,2.24,,,,,,163.548,,0.784,2.555,,,0.305,0.38,89.332,,,,,,,,,,327.56,,,83.401,103.339,51.762,,31.21,,4.5,5.475,,,,8.9,,,,120.426,177.813,,,,,,,,8.396,1.51,,,,3.955,,,11.55,6.225,,,,3.67,67.5,41.688,41.283,3.9,26.036,38.127,,1.439,69.25,139.0,5.25,2.5540000000000003,5.109,,2.493,3.879,4.375,14.598,286.558,44.8,,,0.302,1.3599999999999999,
